dept,lab,hood,exclude
chem,jacobsen,CHEM.MALLIN.FHC11.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC12.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC13.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC14.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC15.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC16.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC17.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC18.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC19.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC20.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC21.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.MALLIN.FHC22.M202:EXH FLOW,FALSE
chem,jacobsen,CHEM.CONANT.202S.FHC1:EXH FLOW,FALSE
chem,jacobsen,CHEM.CONANT.202S.FHC2:EXH FLOW,FALSE
chem,jacobsen,CHEM.CONANT.202S.FHC3:EXH FLOW,FALSE
chem,jacobsen,CHEM.CONANT.202S.FHC4:EXH FLOW,FALSE
chem,jacobsen,CHEM.CONANT.202S.FHC5:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC1.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC2.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC3.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC4.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC5.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC6.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC7.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC8.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC9.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC10.111:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC1.110:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC2.110:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC3.110:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC4.110:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC5.110:EXH FLOW,FALSE
chem,kahn,CHEM.NAITO.FHC6.110:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.311A:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.311B:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.311C:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.311D:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.311E:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.311F:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.312A:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.312B:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.312C:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.312D:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.312E:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.312F:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.315A:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.315B:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.315C:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.315D:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.316A:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.316B:EXH FLOW,FALSE
chem,kishi,CHEM.NAITO.FHC.316D:EXH FLOW,FALSE
chem,lieber,CHEM.CONANT.FHC-A.026:EXH FLOW,FALSE
chem,lieber,CHEM.CONANT.FHC-B.026:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200N.FHC1:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200N.FHC2:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200N.FHC3:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200N.FHC4:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200S.FHC1:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200S.FHC2:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200S.FHC3:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200S.FHC4:EXH FLOW,FALSE
chem,liu,CHEM.CONANT.200S.FHC5:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH01:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH02:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH03:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH04:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH05:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH06:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH07:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH08:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH09:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH10:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH11:EXH FLOW,FALSE
