dept,lab,hood,exclude
chem,whitesides,CHEM.MALLIN.FHC1.RM234:FLOW STPT,TRUE
chem,whitesides,CHEM.MALLIN.FHC1.RM245:FLOW STPT,TRUE
chem,whitesides,CHEM.MALLIN.FHC1.RM246:FLOW STPT,TRUE
chem,xie,CHEM.MALLIN.FHC.EQUIP:FLOW STPT,TRUE
chem,xie,CHEM.MALLIN.FHC.MICRO2:FLOW STPT,TRUE
chem,xie,CHEM.MALLIN.FHC.MICRO3:FLOW STPT,TRUE
chem,xie,CHEM.MALLIN.FHC.RAMAN:FLOW STPT,TRUE
chem,xie,CHEM.MALLIN.FHC.WETLAB:FLOW STPT,TRUE
chem,xie,CHEM.MALLIN.FHC2.EQUIP:FLOW STPT,TRUE
chem,zhuang,CHEM.NAITO.034.FHC2:FLOW STPT,TRUE
chem,zhuang,CHEM.NAITO.FHC.B12:FLOW STPT,TRUE
esl,esl,ESL.VAV.305.TOT.FLOW,TRUE
esl,esl,ESL.VAV.101.FH1.SASH,FALSE
esl,esl,ESL.VAV.101.FH2.SASH,FALSE
esl,esl,ESL.VAV.101.FH3.SASH,FALSE
esl,esl,ESL.VAV.101.FH4.SASH,FALSE
esl,esl,ESL.VAV.104.FH1.SASH,FALSE
esl,esl,ESL.VAV.104.FH2.SASH,FALSE
esl,esl,ESL.VAV.106.FH.SASH,FALSE
esl,esl,ESL.VAV.202A.FH1.SASH,FALSE
esl,esl,ESL.VAV.202A.FH2.SASH,FALSE
esl,esl,ESL.VAV.202A.FH3.SASH,FALSE
esl,esl,ESL.VAV.204.FH1.SASH,FALSE
esl,esl,ESL.VAV.204.FH2.SASH,FALSE
esl,esl,ESL.VAV.305.FH.SASH,FALSE
esl,esl,ESL.VAV.405.FH.SASH,FALSE
esl,esl,ESL.VAV.406.FH.SASH,FALSE
esl,esl,ESL.VAV.415.FH1.SASH,FALSE
esl,esl,ESL.VAV.415.FH2.SASH,FALSE
esl,esl,ESL.VAV.415.FH3.SASH,FALSE
esl,esl,ESL.VAV.415.FH4.SASH,FALSE
esl,esl,ESL.106.TOTAL.HOOD.FLOW,TRUE
esl,esl,ESL.405_406.TOT.HOOD.FLOW,TRUE
esl,esl,ESL.415.TOTAL.HOOD.FLOW,TRUE
esl,esl,ESL.FH224.TOTAL.HOOD.FLOW,TRUE
esl,esl,ESL.VAV.101.TOTAL.HOOD.FLOW,TRUE
esl,esl,ESL.VAV.104.TOTAL.HOOD.FLOW,TRUE
esl,esl,ESL.VAV.204.TOTAL.HOOD.FLOW,TRUE
esl,esl,ESL.VICITIS.TOT.HOOD.FLOW,TRUE
esl,esl,ESL.VAV.101.TOTAL MAX,TRUE
esl,esl,ESL.VAV.101.TOTAL MIN,TRUE
esl,esl,ESL.VAV.104.TOTAL MIN,TRUE
esl,esl,ESL.VAV.106.TOTAL MAX,TRUE
esl,esl,ESL.VAV.106.TOTAL MIN,TRUE
esl,esl,ESL.VAV.202A.TOTAL MAX,TRUE
esl,esl,ESL.VAV.202A.TOTAL MIN,TRUE
esl,esl,ESL.VAV.224.TOTAL MAX,TRUE
esl,esl,ESL.VAV.224.TOTAL MIN,TRUE
esl,esl,ESL.LAB EXHAUST.405.FLOW,TRUE
esl,esl,ESL.VAV.405.TOTAL MAX,TRUE
esl,esl,ESL.VAV.405.TOTAL MIN,TRUE
esl,esl,ESL.LAB EXHAUST.406.FLOW,TRUE
esl,esl,ESL.VAV.405_406.TOT.HOODS.OPEN,TRUE
esl,esl,ESL.VAV.415.TOTAL MAX,TRUE
esl,esl,ESL.VAV.415.TOTAL MIN,TRUE
fairchild,fairchild,FAIRCHILD.VVE.FH.106.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.118.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.206.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.218.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.233.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.318.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.333.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.337.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.352.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.G17.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.G18.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.G40.OPEN,FALSE
fairchild,fairchild,FAIRCHILD.VVE.FH.G48.OPEN,FALSE
,,Var.15,TRUE
